id,feature,sentence
98ef592f-7874-4d7e-b842-96a54033ace2,Modern User Interface,"All the information you need, where you need it with a fast and intuitive user interface designed for salespeople."
08f4fcba-f173-4006-a07e-00c694b00655,Mobile Capabilities,Use Odoo's mobile interface to sell on the road.
796cf2d4-5de4-472c-8914-97cd8f68f676,Reduced Data Entry,"Send quotes in just a few clicks. Convert quotes to sales orders and invoices from the same screen. Use the integrated CRM app to manage your sales pipeline from qualification to closing."
e250ca0d-2101-4daf-afda-3b28563d8567,Sales Warnings,"Get warnings before sending quotations to specific customers or for specific products."
2a2ea425-2880-4aa9-aeb9-0bdd48e98f42,Quotation Builder,"Create a polished quote in seconds. Use predefined products, price lists, and templates to instantly apply the right prices to quotations."
68df0d5d-65fb-4890-969c-ce54dec8ce29,Quotation Template,"Design custom quotation templates in just a few clicks and reuse them to save time."
9380e2e4-f0b6-4da7-bea5-6d03bbb8981d,Pro Forma Invoicing,Send pro forma invoices to your customers.
53917664-fafa-42ed-90a0-ce665c6ef34b,Upselling,"Quotations are optimized to help your company sell more by proposing additional products and other extra options, applying discounts and closing triggers, and more."
71f6afaa-2a19-438d-982a-c56b0a25e265,Electronic Signature,"Sell faster with electronic signatures, allowing your customers to review and sign their quotations online."
f58e4b17-3d49-4be8-9d52-cae8782ba4b7,Variant Grid Entry,"Add product variants to your sales orders using a grid, or matrix, displaying all the possible combinations of a product's attributes (e.g. sizes, colors)."
487aec20-4aff-44e3-aee4-4e14de445f00,Sales Orders,"Convert quotations into sales orders in one click, or let your customers do it themselves with online quotes and Odoo eSign. Save time with the ability to modify sales orders, sell product kits, and ship partial orders."
441831fd-e527-4ac2-b3dd-d1165eb43324,Manage Invoicing from Sales Orders,"Invoice based on ordered or delivered quantities, or based on time and materials. Manage payment terms by customer or by invoice. Easily track and follow up on invoice aging."
56c17788-9205-46ad-bf4f-e6c41033c89b,Customer Portal,"Provide customers with access to an online portal to view their quotes and sales orders, and to track the status of their deliveries in real-time. Customers can modify their orders and confirm them with an electronic signature or online payment."
eb504830-30f9-42e7-a153-089f64868d26,Order-Specific Routes,"Apply special shipping and restocking routes from order lines, such as “dropship” and “replenish on order.”"
f8ad038b-00c0-40e5-a9bd-3f05c245a9f2,Contracts,"Track each phase of a contract, including invoicing, renewal, and upselling. Manage recurring revenue contracts with the fully integrated Odoo Subscriptions app, including memberships or service contracts, contract renewal alerts, and contract options, as well as track recurring revenue via the MRR dashboard."
68209cd0-afe0-4fb3-9028-23e945c490c0,Incoterms®,"Configure Odoo Sales to automatically display Incoterms directly on the invoice."
c5ae92ff-3fe6-4d89-a564-3916f61a3b10,Electronic Signature,"Use Odoo eSign to easily get signatures on NDAs, contracts, or any PDF document."
103484c3-b5f6-4a97-919c-c76ff65df825,Schedule Activities,"Follow key quotations and business opportunities in just a click, and get alerts about relevant activities. Schedule activities directly from business opportunities, and get reminders when the activities need to be performed."
b97df4db-518d-4408-8f7e-ffb7a4d3c9c7,Email Gateways,"See all of your email communications automatically attached to the associated customer order, allowing you to trace back discussions and negotiate more efficiently."
de39678c-fb4f-4258-89ab-6c686f9b338e,Onboarding Emails,"Create email templates for specific products to provide relevant information to buyers upon their purchase, such as instructions and service reminders."
71a86fef-c152-46a9-88cf-ae3b10b0c5d4,Inter-Company Rules,"Automatically mirror sales and purchase orders in a multi-company setup."
b47fe966-1ff0-48a4-9448-c48ed351de38,Product Variants,"Customize products with multiple attributes and variants, such as size, color, and finish."
0e4f5fd7-5354-4d70-8523-94f236ef7fea,Discounts,"Apply discounts on any quotation line item and choose if the discount should be visible or hidden to the customer."
5bfe5354-c0b3-47e3-943f-c34100706fcf,Product Types,"Manage any type of product including storable products, services, consumables, delivery charges, and electronic products."
b4c56752-2399-4d40-9813-9cf1a28c8387,Third-Party Shipper,"Compute shipping costs automatically, print shipping labels, and track your shipments. Odoo integrates with UPS, DHL, FedEx, USPS, Bpost, Easypost, and local postal services."
41af4682-7146-40b5-bf70-50dafd6c3ece,Shipping Cost,"Compute shipping costs based on multiple variables such as weight, volume, quantity, margin, and delivery address."
3269a8e8-2ceb-49b9-b9f1-e1a76cbad0ba,Coupons and Promotions,"Create custom coupons and promotional codes, and allow your customers to activate discounts at purchase."
122d683b-ad77-49ae-9f61-da585d5562dd,Loyalty Program,"Design a loyalty program for your customers to join and earn points that can be used on future orders."
d44a1fd7-c5d6-4813-991e-59d4aadaa608,Gift Cards and eWallet,"Allow customers to purchase gift cards for preconfigured custom amounts and use them to purchase items from your shop. Allow customers to use an eWallet to store money on your website for online payments."
9f99e399-7bca-4f7d-95d4-33c9ab5f97e5,Product Configurator,"Easily add specific product variants to a quotation or cart using Odoo's product configurator display."
4c70ef4a-c8f2-4aab-86d7-3690ad56b2a8,Units of Measure,"Sell products in multiple units of measure and let Odoo manage the conversion."
9b794752-b578-4a36-8dd8-171baa7dd0f4,Pricelists,"Compute the correct price based on customer conditions, such as region and price tier, or based on order conditions, such as quantity and time. Add pricelists to individual products depending on each customer's segment."
1055cde7-97cc-436f-a857-2ea9b2766438,Trackable KPIs,"Easily monitor a KPI dashboard for important information such as total amount invoiced, sales per country/salesperson/sales team, churn, MRR, lifetime value, CAC ratio, and upgrades/downgrades."
e04863ef-986d-4da3-9bb3-402681fbaa32,Next Activities,"Get a full overview of all your sales activities, next actions, and performance data."
181bb044-5352-47a0-ab6e-7155cdc4266a,Order and Invoicing Analysis,"Choose whether your statistics are based on orders, invoices, or both. Group sales data by categories such as product type, salesperson, country, and sales team."
