id,feature,sentence
138ff79c-86d8-4f2d-8e65-6afbdea9289f,Locations,"Create and manage specific storage locations, like shelves, aisles, cold storage rooms, and pallet racks."
6eb16217-4733-4de2-920e-e570748a669f,Putaway rules,"Automatically route products to ideal storage locations based on real-time capacity (storage categories), product storage needs, and picking accessibility."
88edcfae-e097-4f44-96fd-157c0ab702b3,Operations,"Create dedicated locations to receive products, sort, pack, and other warehouse operations."
aac36fd1-379f-4690-b413-c564ed1d0cda,Smart removal,"Choose product removal strategies (FIFO, FEFO, nearest available zone, LEFO) and streamline picker paths with the right picking method (single, batch, cluster, wave)."
640fa6ac-1654-4e56-b886-2082f8fef7e3,Role-based to-do list,"Dedicated dashboards to keep the order fulfillment, purchasing, quality, picking, packing, and receiving teams on top of their daily tasks. Tasks with the earliest deadline are prioritized to ensure orders are fulfilled on time, every time."
4a79cb12-f204-404f-93ac-aa63987930b2,Receipts,"Manage incoming shipments with vendor-provided arrival dates and automatic unit of measure conversion for received quantities. (e.g. buy in tons and sell in kg.)"
03fdedf8-3f1a-4c4e-b509-7735351fa10c,Returns,"Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books."
2533ca57-ec38-4753-ba2d-41c06f660518,Pick,"Create smart automatic batches based on shipping carriers, serial numbers, specific quantities, and total weight for picker convenience. If stock is insufficient, the option to create a backorder is available."
3df3882c-607d-4498-a42e-5c33db4074ce,Pack,"Assign barcodes to sealed packages for content tracking, with location updates of the package also reflecting the location of contained products."
e283462c-3365-4144-afb1-861bf8278375,Scrap,"Scrap products in just a few clicks and get clear reports on scrap: their costs, reasons and volumes."
63b0ed3d-1a92-454f-bc50-06082aaa3a79,Inventory adjustments,"Schedule recurring stock counts on vital storage locations, products, or lots to keep inventory up to date all the time."
d6765857-3202-4d71-9b76-8c5e2c63d478,Drop-ship,"Coordinate with the supplier to deliver certain products directly to customers."
3b03dd20-c1c3-4b97-b520-6ebe1614d419,Cross-dock,"Unload incoming material and directly transfer to outbound gates with little to no storage in between."
b17227a2-fc06-4130-b3f3-7ce5312da146,Push and pull rules,"Create custom routes to automatically plan transfers between any warehouses and locations."
ec42cf63-32dc-43b3-b990-b30a02732234,By shipping method,"Set up order fulfillment routes tailored to different shipping methods (pickup at store, post-office, third-party shipping, etc)"
54da562f-bacf-45d9-b4c8-81ed6ad2aa8f,Subcontracting,"After confirming the sales order, auto-generate delivery documents for raw materials, bill the subcontractor, and if needed, run quality checks before shipping subcontracted product to the customer."
c68d813d-7f39-4d2e-8aa0-a000e8a0f56d,Multi-warehouse,"Manage all storage, stock, and replenishments for all your warehouses. Easily handle transfers to, from, and between warehouses in one system."
d331b834-464a-41fa-b3c2-d5102ee4331b,Barcode,"Streamline *any* warehouse operation using a barcode scanner: receipts, pickings, inventory adjustments. Update and perform real-time warehouse actions, anytime and anywhere. Supports GS1, EAN13, and EAN14 out of the box."
e34eace9-5ab6-4548-9d32-eec1661fcaf3,Customer portal,"Live web page where customers can track the status of their order, payment, and delivery status. Begin a return directly on this page generate a printable barcode of the order and customized return instructions, so your employees can easily process the returned item with a barcode upon receipt."
478eab77-7ebc-45f7-a4b4-2ad7c5b06632,Replenishment alerts,"Notify procurement managers about low stock and vendor lead times to assist with reordering schedules."
938776eb-649d-40f0-81c5-13e277847a3c,Smart scheduler,"Odoo automatic scheduler triggers operations automatically for you based on product availability and forecasts of orders."
c8b7e45f-1c36-490f-85ca-8585ea0adbb5,Search products by location,"Locate products, their storage locations, and quantities from a single dashboard."
